Local Authority Asset Number,Street Name,Ward Name,Postcode,Description,Switch Regime,Wattage,Lamp Type,Column Type,Column Height,Heritage Status,Install Date,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Organisation URI,Last Uploaded
247234,REGENT'S PARK ROAD,Primrose Hill,NW1 8JA,S/O NO. 150,35/18,86,Generic LED Lighting,Lighting Column,600,No,31/12/2021,528029,184265,-0.155162,51.542772,POINT (-0.155162 51.542772),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
248782,OSSULSTON STREET,St Pancras and Somers Town,NW1 2DB,J/W EUSTON RD,35/18,102,Generic LED Lighting,Lighting Column,800,No,24/11/2023,529979,182762,-0.127613,51.528819,POINT (-0.127613 51.528819),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
242184,DALEHAM GARDENS,Belsize,NW3 5BU,O/S NO 31,35/18,42,Generic LED Lighting,Lighting Column,600,No,31/12/2021,526687,185082,-0.174209,51.550416,POINT (-0.174209 51.550416),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
242144,CHURCH ROW,Frognal,NW3 6UP,O/S NO 25,35/18,109,High Pressure Sodium,Lighting Column,400,Yes,10/02/2000,526330,185638,-0.179156,51.555493,POINT (-0.179156 51.555493),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
245414,CLARENCE WAY,Haverstock,NW1 8DG,O/S NO 64,35/18,39,Generic LED Lighting,Lighting Column,500,Yes,31/12/2021,528638,184419,-0.146328,51.544017,POINT (-0.146328 51.544017),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
246778,ARLINGTON ROAD,Regents Park,NW1 7ES,O/S 87,35/18,104,LED Street Lights,Lighting Column,800,Yes,31/12/2021,528956,183573,-0.142055,51.536342,POINT (-0.142055 51.536342),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
245485,GRAFTON ROAD,Gospel Oak,NW5 4BA,BY 120-124,35/18,93,Generic LED Lighting,Lighting Column,800,No,,528495,185014,-0.148172,51.549397,POINT (-0.148172 51.549397),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
249161,GORDON SQUARE,Bloomsbury,WC1H 0PP,OPP NO 30-35 INSTITUTE OF ARCHAEOLOGY,35/18,102,Generic LED Lighting,Lighting Column,500,No,24/11/2023,529716,182293,-0.131575,51.524665,POINT (-0.131575 51.524665),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
240593,FAWLEY ROAD,West Hampstead,NW6 1SJ,S/O NO. 15,35/18,42,Generic LED Lighting,Lighting Column,600,No,31/12/2021,525625,185028,-0.189537,51.550168,POINT (-0.189537 51.550168),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
243293,NORTH END WAY,Hampstead Town,NW3 7HG,OPP N 3/4,35/18,93,Generic LED Lighting,Lighting Column,1000,No,10/01/2000,526025,186987,-0.18307,51.567685,POINT (-0.18307 51.567685),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
242507,MARESFIELD GARDENS,Belsize,NW3 5TE,OPP NO 50,35/18,42,Generic LED Lighting,Lighting Column,600,No,31/12/2021,526438,185060,-0.177807,51.550275,POINT (-0.177807 51.550275),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
246855,DELANCEY STREET,Camden Town,NW1 7NH,BY 36,35/18,106,Generic LED Lighting,Lighting Column,800,Yes,10/02/1984,528866,183591,-0.143345,51.536524,POINT (-0.143345 51.536524),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
250101,WICKLOW STREET,Kings Cross,WC1X 9JD,OPP NOSE HOSPITAL,35/18,56,Generic LED Lighting,Lighting Column,800,No,24/11/2023,530644,182854,-0.117997,51.529493,POINT (-0.117997 51.529493),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
249274,MALET STREET,Bloomsbury,WC1B 5DP,O/S SENATE HOUSE,35/18,107,Generic LED Lighting,Lighting Column,800,No,21/10/2000,529917,181812,-0.128856,51.520296,POINT (-0.128856 51.520296),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
262587,TOTTENHAM COURT ROAD,Bloomsbury,W1T 4TB,J/W TOTTENHAM STREET,35/18,178,Generic LED Lighting,Lighting Column,800,Yes,12/12/2023,529510,181864,-0.1347,51.520857,POINT (-0.1347 51.520857),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
249548,ARGYLE SQUARE,Kings Cross,WC1H 8AS,FRONT OF N 7,35/18,51,Generic LED Lighting,Lighting Column,800,No,24/11/2023,530349,182843,-0.122252,51.529462,POINT (-0.122252 51.529462),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
242200,ELDON GROVE,Hampstead Town,NW3 5PH,OPP NO 8,35/18,38,Generic LED Lighting,Lighting Column,500,Yes,11/12/1976,526804,185462,-0.172386,51.553805,POINT (-0.172386 51.553805),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
245891,TASKER ROAD,Gospel Oak,NW3 2YR,OPP NO 4,35/18,29,Generic LED Lighting,Lighting Column,500,No,31/12/2021,527815,185160,-0.157921,51.550863,POINT (-0.157921 51.550863),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
245563,HAWLEY ROAD,Camden Town,NW1 8NX,OPP PUB,35/18,93,Generic LED Lighting,Lighting Column,1000,No,10/02/1975,528935,184279,-0.142099,51.542691,POINT (-0.142099 51.542691),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
259915,LONG YARD,Holborn and Covent Garden,WC1N 3LU,,35/18,42,Generic LED Lighting,Wall Light,,,24/11/2023,530597,182114,-0.118949,51.522853,POINT (-0.118949 51.522853),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:15 PM
244081,HAVERSTOCK HILL,Gospel Oak,NW3 2AY,OPP ANTRIM GROVE,35/18,61,Generic LED Lighting,Lighting Column,800,Yes,,527559,184917,-0.161699,51.548737,POINT (-0.161699 51.548737),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
241853,PALMERSTON ROAD,Kilburn,NW6 2JU,O/S DAY CENTRE,35/18,48,Generic LED Lighting,Lighting Column,600,No,31/12/2021,525065,184446,-0.197817,51.545062,POINT (-0.197817 51.545062),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
262682,HATTON GARDEN,Holborn and Covent Garden,EC1N 8LX,S/O NO. 58D,35/18,51,Generic LED Lighting,Lighting Column,1000,No,20/12/2023,531273,182014,-0.109248,51.521798,POINT (-0.109248 51.521798),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
246555,RAVELEY STREET,Kentish Town North,NW5 2HS,ON FLANK OF 27 LUPTON STREET,35/18,22,Generic LED Lighting,Lighting Column,500,No,31/12/2021,529138,185677,-0.138661,51.555209,POINT (-0.138661 51.555209),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
262888,BLOOMSBURY STREET,Bloomsbury,WC1B 3SR,J/W STREATHAM STREET,35/18,51,Generic LED Lighting,Lighting Column,1000,No,06/02/2024,530044,181482,-0.127148,51.517301,POINT (-0.127148 51.517301),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
250436,GREAT RUSSELL STREET,Bloomsbury,WC1A 2NJ,OPP.74-77,35/18,39,Generic LED Lighting,Lighting Column,600,Yes,,530261,181687,-0.123947,51.519093,POINT (-0.123947 51.519093),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
249325,TORRINGTON PLACE,Bloomsbury,WC1E 7HX,"J/W BYNG PLACE, O/S UNIVERSITY OF LONDON",35/18,104,LED Street Lights,Lighting Column,800,Yes,,529745,182104,-0.131226,51.52296,POINT (-0.131226 51.52296),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
245610,INKERMAN ROAD,Kentish Town South,NW5 3BT,O/S NO 35A,35/18,27,Generic LED Lighting,Lighting Column,400,No,31/12/2021,528797,184919,-0.143854,51.548474,POINT (-0.143854 51.548474),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
247222,REGENT'S PARK ROAD,Primrose Hill,NW1 7SU,OPP NO 54/56,35/18,104,LED Street Lights,Lighting Column,800,Yes,10/02/2000,528083,183772,-0.154563,51.538329,POINT (-0.154563 51.538329),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
245300,BELMONT STREET,Haverstock,NW1 8HL,O/S NO 94,35/18,21,Generic LED Lighting,Lighting Column,600,No,31/12/2021,528305,184486,-0.151103,51.544695,POINT (-0.151103 51.544695),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
248380,YORK WAY,Kings Cross,N1C 4BZ,BY BRIDGE,35/18,110,Generic LED Lighting,Lighting Column,1000,No,31/12/2021,530320,183530,-0.122416,51.535643,POINT (-0.122416 51.535643),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:15 PM
259188,ST CHAD'S PLACE,Kings Cross,WC1X 9DB,SMALL PATH WAY,35/18,21,Generic LED Lighting,Wall Light,,,16/02/2021,530563,182987,-0.119115,51.530707,POINT (-0.119115 51.530707),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:15 PM
248853,PANCRAS ROAD,Kings Cross,N1C 4AL,OPP CLUB,35/18,48,Generic LED Lighting,Lighting Column,1000,No,29/11/2023,530108,183117,-0.125623,51.53198,POINT (-0.125623 51.53198),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
244112,KING HENRY'S ROAD,Primrose Hill,NW1 8UR,J/O GLOUCESTER AVENUE L.H,35/18,60,Generic LED Lighting,Lighting Column,800,No,31/12/2021,528009,184257,-0.155453,51.542704,POINT (-0.155453 51.542704),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
249387,TOTTENHAM STREET,Bloomsbury,W1T 2HG,O/S NO 1,35/18,110,Generic LED Lighting,Lighting Column,800,No,08/10/2013,529501,181847,-0.134836,51.520706,POINT (-0.134836 51.520706),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
250354,COPTIC STREET,Bloomsbury,WC1B 3PD,NEAR GT. RUSSELL ST,35/18,51,Generic LED Lighting,Lighting Column,600,No,24/11/2023,530080,181550,-0.126605,51.517904,POINT (-0.126605 51.517904),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
1112,WERRINGTON STREET,St Pancras and Somers Town,NW1 1QN,O/S PUB,35/18,29,Generic LED Lighting,Lighting Column,600,No,31/08/2021,529438,183191,-0.13525,51.532799,POINT (-0.13525 51.532799),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
241500,GASCONY AVENUE,Kilburn,NW6 4NA,O/S 32,35/18,29,Generic LED Lighting,Lighting Column,600,No,31/12/2021,525167,184147,-0.196453,51.542352,POINT (-0.196453 51.542352),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
262646,HIGH HOLBORN,Holborn and Covent Garden,WC2H 8DY,,35/18,178,Generic LED Lighting,Lighting Column,,No,13/12/2023,530150,181338,-0.125675,51.515983,POINT (-0.125675 51.515983),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
241907,SHERRIFF ROAD,West Hampstead,NW6 2AS,S/O NO. 15,35/18,56,Generic LED Lighting,Lighting Column,600,No,31/12/2021,525461,184566,-0.192066,51.546053,POINT (-0.192066 51.546053),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
246716,ALBANY STREET,Regents Park,NW1 4DX,BY 4,35/18,145,Generic LED Lighting,Lighting Column,1000,No,24/11/2023,528825,182454,-0.144352,51.526315,POINT (-0.144352 51.526315),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
242921,CHRISTCHURCH HILL,Hampstead Town,NW3 1EJ,OPPOSITE SCHOOL,35/18,39,Generic LED Lighting,Lighting Column,400,Yes,31/12/2021,526531,186114,-0.176087,51.559726,POINT (-0.176087 51.559726),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
245920,WEEDINGTON ROAD,Haverstock,NW5 4RG,OPP TRAFFIC ISLAND,35/18,29,Generic LED Lighting,Lighting Column,600,No,31/12/2021,528410,185009,-0.149399,51.549371,POINT (-0.149399 51.549371),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
245368,CHALK FARM ROAD,Haverstock,NW1 8AJ,S/O NO. 32,35/18,39,Generic LED Lighting,Lighting Column,800,No,,528570,184258,-0.147367,51.542586,POINT (-0.147367 51.542586),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
249950,MARCHMONT STREET,Bloomsbury,WC1N 1NJ,BY CAR PARK,35/18,41,LED Street Lights,Lighting Column,800,No,10/01/2000,530216,182226,-0.124396,51.523948,POINT (-0.124396 51.523948),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
245469,GRAFTON CRESCENT,Kentish Town South,NW1 8SN,J/W CASTLE RD,35/18,56,Generic LED Lighting,Lighting Column,600,No,31/12/2021,528717,184577,-0.145132,51.545419,POINT (-0.145132 51.545419),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
241491,FAIRHAZEL GARDENS,South Hampstead,NW6 4TG,OPP 2,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,526297,184106,-0.180181,51.541732,POINT (-0.180181 51.541732),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
244421,BURGHLEY ROAD,Kentish Town North,NW5 1UE,BY 50,35/18,86,Generic LED Lighting,Lighting Column,800,No,31/12/2021,528924,185636,-0.141761,51.554889,POINT (-0.141761 51.554889),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
258208,PANCRAS ROAD,St Pancras and Somers Town,N1C 4PW,PANCRAS ROAD TUNNEL,35/18,,,Wall Light,,,,529977,183324,-0.127434,51.53387,POINT (-0.127434 51.53387),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:15 PM
244740,HIGHGATE WEST HILL,Highgate,N6 6NS,OPPOSITE 22,35/18,48,Generic LED Lighting,Lighting Column,800,No,31/12/2021,528128,186660,-0.152863,51.564273,POINT (-0.152863 51.564273),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
242918,CHRISTCHURCH HILL,Hampstead Town,NW3 1JY,OPP NO 26 WILLOW ROAD,35/18,39,Generic LED Lighting,Lighting Column,400,Yes,31/12/2021,526826,185895,-0.171913,51.557692,POINT (-0.171913 51.557692),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
246942,GLOUCESTER GATE BRIDGE,Regents Park,NW1 4HA,ON BRIDGE,35/18,31,Low Pressure Mercury (Fluorescent Tube) - Single Lamp,Lighting Column,300,Yes,,528606,183495,-0.147127,51.535721,POINT (-0.147127 51.535721),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
242663,REDINGTON GARDENS,Frognal,NW3 7RU,OPP 22,35/18,42,Generic LED Lighting,Lighting Column,500,No,31/12/2021,525733,185917,-0.187663,51.558134,POINT (-0.187663 51.558134),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
242376,HEATH DRIVE,Frognal,NW3 7SL,O/S 18,35/18,42,Generic LED Lighting,Lighting Column,600,No,31/12/2021,525672,185871,-0.188559,51.557734,POINT (-0.188559 51.557734),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
241318,BROADHURST GARDENS,South Hampstead,NW6 3BP,OPP 55,35/18,56,Generic LED Lighting,Lighting Column,800,No,30/11/2023,526110,184680,-0.182671,51.546933,POINT (-0.182671 51.546933),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
242445,LANGLAND GARDENS,Frognal,NW3 6QE,O/S 17,35/18,29,Generic LED Lighting,Lighting Column,500,No,31/12/2021,525949,185357,-0.184749,51.553053,POINT (-0.184749 51.553053),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
244930,OAKESHOTT AVENUE,Highgate,N6 6ED,NEAR N 377,35/18,38,Generic LED Lighting,Lighting Column,500,Yes,,528523,186857,-0.147096,51.565953,POINT (-0.147096 51.565953),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
247805,CLIFF VILLAS,Camden Square,NW1 9AL,O/S SCHOOL,35/18,86,Generic LED Lighting,Lighting Column,800,No,31/12/2021,529915,184789,-0.127787,51.54705,POINT (-0.127787 51.54705),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
251710,SAFFRON HILL,Holborn and Covent Garden,EC1N 8XA,"O/S NO 95-98, J/W ST CROSS ST",35/18,29,Generic LED Lighting,Lighting Column,500,No,24/11/2023,531412,181922,-0.10728,51.520939,POINT (-0.10728 51.520939),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
20963,VALE OF HEALTH,Hampstead Town,NW3 1BB,O/S HEATHDEAN,35/18,39,Generic LED Lighting,Lighting Column,400,Yes,28/02/2022,526491,186406,-0.176559,51.562359,POINT (-0.176559 51.562359),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
1309,LYNDHURST ROAD,Hampstead Town,NW3 5PX,O/S NO 9,35/18,46,Generic LED Lighting,Lighting Column,600,No,30/09/2021,526799,185337,-0.172503,51.552683,POINT (-0.172503 51.552683),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
242214,FERNCROFT AVENUE,Frognal,NW3 7PH,O/S 28,35/18,42,Generic LED Lighting,Lighting Column,500,No,31/12/2021,525467,185959,-0.191483,51.558571,POINT (-0.191483 51.558571),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
248632,EVERSHOLT STREET,St Pancras and Somers Town,NW1 1DG,O/S PUB,35/18,56,Generic LED Lighting,Lighting Column,1000,No,24/11/2023,529702,182685,-0.131632,51.528191,POINT (-0.131632 51.528191),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
245482,GRAFTON ROAD,Gospel Oak,NW5 4BA,O/S 102A,35/18,93,Generic LED Lighting,Lighting Column,800,No,10/02/1975,528544,184965,-0.147484,51.548946,POINT (-0.147484 51.548946),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
245629,LEWIS STREET,Camden Town,NW1 8PS,O/S FLATS,35/18,56,Generic LED Lighting,Lighting Column,600,No,31/12/2021,528871,184500,-0.142941,51.544692,POINT (-0.142941 51.544692),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
244428,BURGHLEY ROAD,Kentish Town North,NW5 1UN,BY 86,35/18,86,Generic LED Lighting,Lighting Column,800,No,31/12/2021,528967,185805,-0.141079,51.556398,POINT (-0.141079 51.556398),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
247628,BAYHAM STREET,Camden Town,NW1 0AP,FRONT OF N 115,35/18,102,Generic LED Lighting,Lighting Column,800,No,24/11/2023,529023,183820,-0.140999,51.538546,POINT (-0.140999 51.538546),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
242034,WEST END LANE,Kilburn,NW6 4QG,OPP 1-25 HOLMESDALE HOUSE,35/18,48,Generic LED Lighting,Lighting Column,600,No,31/12/2021,525485,183826,-0.191984,51.539397,POINT (-0.191984 51.539397),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
240730,HOLMDALE ROAD,West Hampstead,NW6 1BP,S/O NO. 1,35/18,61,Generic LED Lighting,Lighting Column,500,No,,525331,185021,-0.193778,51.550171,POINT (-0.193778 51.550171),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
242674,REDINGTON ROAD,Frognal,NW3 7QY,O/S 33,35/18,56,Generic LED Lighting,Lighting Column,500,No,31/12/2021,525842,185748,-0.186152,51.556591,POINT (-0.186152 51.556591),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
246943,GLOUCESTER GATE BRIDGE,Regents Park,NW1 4HA,ON BRIDGE,35/18,31,Low Pressure Mercury (Fluorescent Tube) - Single Lamp,Lighting Column,300,Yes,,528612,183511,-0.147035,51.535863,POINT (-0.147035 51.535863),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
250203,BEDFORD AVENUE,Bloomsbury,WC1B 3DP,2ND BLOOMSBURY STREET NORTH,35/18,13,Generic LED Lighting,Lighting Column,600,No,24/11/2023,529913,181598,-0.128993,51.518374,POINT (-0.128993 51.518374),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
248028,ROYAL COLLEGE STREET,Kentish Town South,NW1 9NJ,FRONT OF N 232B,35/18,60,Generic LED Lighting,Lighting Column,800,No,31/12/2021,529106,184351,-0.139608,51.543299,POINT (-0.139608 51.543299),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:15 PM
250043,SIDMOUTH STREET,Kings Cross,WC1H 8JD,OPP WESTMINSTER COLLEGE,35/18,104,LED Street Lights,Lighting Column,800,No,01/05/2014,530496,182567,-0.120236,51.526948,POINT (-0.120236 51.526948),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
246819,CHALCOT SQUARE,Primrose Hill,NW1 8YB,FRONT OF N 2,35/18,38,Generic LED Lighting,Lighting Column,500,Yes,,527998,184054,-0.155685,51.540882,POINT (-0.155685 51.540882),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
253128,MALDEN ROAD,Haverstock,NW5 3HG,O/S NO 44,Continuous,15,LED Belisha Beacons (undimmed),Belisha Beacon,300,No,10/02/1999,528259,184779,-0.15166,51.547339,POINT (-0.15166 51.547339),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:15 PM
245680,MALDEN ROAD,Gospel Oak,NW5 4QY,OPP ALLEYWAY,35/18,93,Generic LED Lighting,Lighting Column,800,No,,527899,185185,-0.156701,51.551069,POINT (-0.156701 51.551069),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
242905,CARLINGFORD ROAD,Hampstead Town,NW3 1RX,O/S NO 12,35/18,39,Generic LED Lighting,Lighting Column,500,Yes,31/12/2021,526832,185742,-0.171881,51.556315,POINT (-0.171881 51.556315),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
242628,PLATT'S LANE,Frognal,NW3 7NP,O/S 17,35/18,56,Generic LED Lighting,Lighting Column,800,No,31/12/2021,525230,185975,-0.194895,51.558767,POINT (-0.194895 51.558767),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
250401,FLITCROFT STREET,Holborn and Covent Garden,WC2H 8DJ,FRONT OF CHURCH,35/18,29,Generic LED Lighting,Lighting Column,500,No,24/11/2023,529938,181250,-0.128761,51.51524,POINT (-0.128761 51.51524),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
247958,PRATT STREET,St Pancras and Somers Town,NW1 0BG,FRONT OFN 31A,35/18,110,Generic LED Lighting,Lighting Column,800,No,24/11/2023,529126,183739,-0.139544,51.537795,POINT (-0.139544 51.537795),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
241480,FAIRHAZEL GARDENS,South Hampstead,NW6 3SL,O/S 54,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,526100,184396,-0.182917,51.544383,POINT (-0.182917 51.544383),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
245616,KELLY STREET,Kentish Town South,NW1 8PG,O/S NO 21,35/18,38,Generic LED Lighting,Lighting Column,400,Yes,,528886,184594,-0.14269,51.545533,POINT (-0.14269 51.545533),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
248009,ROYAL COLLEGE STREET,St Pancras and Somers Town,NW1 0QA,OPP N 93,35/18,86,Generic LED Lighting,Lighting Column,800,No,31/12/2021,529425,183781,-0.13522,51.538104,POINT (-0.13522 51.538104),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:15 PM
246218,COUNTESS ROAD,Kentish Town North,NW5 2XJ,OPP. MAYCROFT PARKING AREA,35/18,51,Generic LED Lighting,Lighting Column,500,No,31/12/2021,529254,185458,-0.137069,51.553214,POINT (-0.137069 51.553214),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
250576,NEW COMPTON STREET,Holborn and Covent Garden,WC2H 8JR,NEAR GATE FOR FIRE EXIT,35/18,74,Generic LED Lighting,Lighting Column,600,Yes,,530014,181215,-0.127679,51.514908,POINT (-0.127679 51.514908),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
245019,ST ANNE'S CLOSE,Highgate,N6 6AP,R/O NO 106 HIGHGATE ROAD,35/18,38,Generic LED Lighting,Lighting Column,500,Yes,,528286,186456,-0.150659,51.562404,POINT (-0.150659 51.562404),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
246922,GLOUCESTER CRESCENT,Camden Town,NW1 7DS,OPP NO 61,35/18,39,Generic LED Lighting,Lighting Column,400,Yes,31/12/2021,528701,183838,-0.145633,51.538782,POINT (-0.145633 51.538782),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
