Local Authority Asset Number,Street Name,Ward Name,Postcode,Description,Switch Regime,Wattage,Lamp Type,Column Type,Column Height,Heritage Status,Install Date,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Organisation URI,Last Uploaded
1436,NEW END SQUARE,Hampstead Town,NW3 1LS,O/S NO 32,35/18,30,Generic LED Lighting,Lighting Column,400,Yes,31/10/2021,526589,185933,-0.175316,51.558086,POINT (-0.175316 51.558086),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
250640,RIDGMOUNT STREET,Bloomsbury,WC1E 7AH,NEAR NO 21,35/18,29,Generic LED Lighting,Lighting Column,800,No,24/11/2023,529703,181875,-0.131916,51.520911,POINT (-0.131916 51.520911),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
251418,GREVILLE STREET,Holborn and Covent Garden,EC1N 8PJ,O/S 41,35/18,46,Generic LED Lighting,Lighting Column,500,No,24/11/2023,531299,181733,-0.108978,51.519267,POINT (-0.108978 51.519267),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
250228,BEDFORD PLACE,Bloomsbury,WC1B 5JH,BY 25,35/18,39,Generic LED Lighting,Lighting Column,600,Yes,24/11/2023,530208,181834,-0.124656,51.520427,POINT (-0.124656 51.520427),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
243279,NORTH END,Hampstead Town,NW3 7HH,FRONT N 3,35/18,39,Generic LED Lighting,Lighting Column,400,Yes,31/12/2021,526076,186958,-0.182345,51.567413,POINT (-0.182345 51.567413),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
253092,HIGHGATE ROAD,Highgate,NW5 1QR,ON C/I AT J/W CROFTDOWN RD,Continuous,15,LED Belisha Beacons (undimmed),Belisha Beacon,300,No,,528391,186108,-0.149272,51.559252,POINT (-0.149272 51.559252),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:15 PM
241419,COMPAYNE GARDENS,South Hampstead,NW6 3DD,O/S 25,35/18,29,Generic LED Lighting,Lighting Column,600,No,31/12/2021,525989,184507,-0.184477,51.545405,POINT (-0.184477 51.545405),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
244598,FORTESS ROAD,Kentish Town North,NW5 1AD,BY 57,35/18,110,Generic LED Lighting,Lighting Column,1000,No,31/12/2021,529010,185548,-0.140553,51.554079,POINT (-0.140553 51.554079),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
246560,RAVELEY STREET,Kentish Town North,NW5 2JA,BY SCHOOL,35/18,22,Generic LED Lighting,Lighting Column,500,No,31/12/2021,529091,185684,-0.139336,51.555282,POINT (-0.139336 51.555282),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
249467,WHITFIELD STREET,Bloomsbury,W1T 5ER,O/S NO 151,35/18,60,Generic LED Lighting,Lighting Column,800,No,31/08/2021,529207,182188,-0.138946,51.523838,POINT (-0.138946 51.523838),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
