LSOA Code,comparison_score,routing_score,annual_crime_rate
E01000006,7.277323998444185,3.8220887714531897,49.00816802800467
E01000007,0.0,10.0,344.91803278688525
E01000008,5.228143504005573,8.163529860720939,85.8934169278997
E01000009,2.931619011066334,10.0,127.23085780080598
E01000011,5.96212754107491,5.415320720238365,72.68170426065163
E01000012,4.722652440773246,6.7927469021538105,94.99225606608157
E01000013,2.940089733438901,10.0,127.07838479809978
E01000014,5.845997973657548,5.4596526010547315,74.77203647416414
E01000015,6.9726381955999255,4.045978470351339,54.49251247920133
E01000016,7.095134350036311,3.7894531953156276,52.287581699346404
E01000017,5.8572339069471,4.644740036408454,74.5697896749522
E01000018,7.773906310491676,3.7310061464475375,40.069686411149824
E01000019,6.592388391147868,4.394075174021703,61.337008959338384
E01000020,7.4034126576499455,3.8742112447334818,46.738572162300976
E01000021,4.262524489224742,7.183223970416173,103.27455919395466
E01000022,7.005745731164522,3.830004883355502,53.8965768390386
E01000024,6.985045827303425,4.501195888090801,54.26917510853835
E01000025,7.249388753056235,4.422902887535322,49.511002444987774
E01000027,4.233630952380952,7.609918241774686,103.79464285714286
E01000028,6.38436935057711,5.552273864370218,65.08135168961202
E01000029,6.579091406677613,4.715170791423118,61.576354679802954
E01000030,2.8245270711024144,9.282011352954527,129.15851272015655
E01000031,5.102905168420356,6.358417056946607,88.1477069684336
E01000032,2.798977050945556,9.47285942304679,129.61841308298
E01000033,6.706958004029133,4.213207102109203,59.274755927475596
E01000034,6.400523560209424,4.777839057951064,64.79057591623037
E01000035,3.439091265178222,9.1206379318904,118.09635722679201
E01000036,3.3718968426126787,8.061779024239575,119.3058568329718
E01000037,7.694524495677234,4.066205338794567,41.498559077809794
E01000038,6.882277815340696,3.9571244904685026,56.11899932386748
E01000039,7.198595922775752,3.798773562176982,50.42527339003645
E01000040,5.8657919912532455,6.294103622684299,74.41574415744158
E01000041,7.556207233626588,3.464541810759273,43.98826979472141
E01000042,6.128734038250419,5.415317352898601,69.68278731149245
E01000043,6.369949494949495,5.300571743842082,65.3409090909091
E01000044,7.011612021857924,4.20815763757031,53.790983606557376
E01000045,1.940811203593606,10.0,145.06539833531508
E01000046,7.092133455769819,4.5772433517283195,52.341597796143255
E01000049,6.629412808231329,6.181216720996639,60.67056945183608
E01000050,6.77579365079365,4.673739010618855,58.035714285714285
E01000051,4.4019274376417235,6.251103839220213,100.76530612244898
E01000052,7.161014741886754,4.474263718152839,51.10173464603844
E01000053,5.2400806059342635,6.7343635139205436,85.67854909318325
E01000054,6.871871871871872,4.577364742262306,56.306306306306304
E01000055,6.861077359254759,4.501368889974754,56.50060753341433
E01000056,1.8361699183616977,10.0,146.94894146948943
E01000057,3.6235708003518035,8.8675076991252,114.77572559366754
E01000058,6.83922774645481,4.729070038686067,56.89390056381343
E01000059,6.343178621659634,4.270821871044939,65.82278481012659
E01000060,0.0,10.0,224.2199894235854
E01000061,3.476318141197498,9.518076490570536,117.42627345844504
E01000062,5.987654320987654,5.36200118305085,72.22222222222221
E01000063,7.680984069368824,3.7164533986245916,41.74228675136116
E01000064,5.372586564544439,6.855026124834111,83.2934418382001
E01000065,6.6808455787574115,5.06286098724676,59.74477958236659
E01000066,6.864686468646864,4.096019347586523,56.43564356435644
E01000067,6.652319464371114,4.793313863839856,60.25824964131994
E01000068,5.820271682340648,5.129432740266187,75.23510971786834
E01000069,7.746101364522417,2.8474229323458675,40.57017543859649
E01000070,2.688654071939374,10.0,131.60422670509126
E01000071,6.520576985114522,4.423107452977619,62.629614267938614
E01000072,5.741010297051054,7.077472233774302,76.66181465308102
E01000073,6.296296296296296,5.171879688416519,66.66666666666667
E01000074,6.742440337086609,4.800041584805317,58.63607393244104
E01000075,2.719660042494687,9.14432977184301,131.04611923509563
E01000076,7.274015919747029,3.872565418718435,49.06771344455348
E01000077,6.058060713233127,5.392597665199908,70.9549071618037
E01000078,5.9207459207459205,5.661184038783208,73.42657342657343
E01000079,7.186147186147187,3.668281183858646,50.64935064935065
E01000080,7.253511333611459,4.549968360761192,49.43679599499374
E01000081,7.3281199087650695,3.9286963620972832,48.09384164222874
E01000082,0.3744970597338302,10.0,173.25905292479106
E01000083,7.60214250124564,3.8920274507183446,43.16143497757847
E01000084,3.0303762791072435,10.0,125.45322697606962
E01000085,5.520752771332818,6.172099416662243,80.62645011600928
E01000086,7.159975101151572,4.271713888985816,51.120448179271705
E01000087,0.6252547485122673,10.0,168.74541452677917
E01000088,6.667231542676383,5.185922364433723,59.98983223182511
E01000089,6.961805555555555,4.400355350522645,54.6875
E01000090,2.2711058263971458,8.680001902520484,139.1200951248514
E01000091,6.675129972191996,5.267211932719862,59.847660500544066
E01000093,4.305390014567607,7.754790407790572,102.50297973778308
E01000094,2.8606597735105854,8.969213846221193,128.50812407680945
E01000095,0.0,10.0,329.86870897155364
E01000096,3.3211900425015184,8.855074950559345,120.21857923497267
E01000097,5.758387549432326,5.271637217455895,76.34902411021814
E01000098,6.210765007757489,7.154728011657311,68.2062298603652
E01000099,6.02074347915383,5.185694150155564,71.62661737523106
E01000100,6.499149326004449,4.706164443612017,63.01531213191991
E01000101,6.169711255156159,5.165904223984873,68.94519740718916
E01000102,7.227420808206834,3.9493672454395274,49.906425452276984
E01000103,6.260029919760642,4.76121156973085,67.31946144430844
E01000104,5.546453416552889,6.40628915168042,80.163838502048
E01000105,0.0,10.0,192.30769230769232
E01000106,4.676155798300783,7.822094865699858,95.8291956305859
E01000107,6.700659868026395,4.13333054589008,59.388122375524894
E01000108,4.636015325670498,7.810923606346352,96.55172413793103
E01000110,7.608024691358025,3.3180568683699896,43.05555555555556
E01000111,4.525040297926741,7.492542794495293,98.54927463731866
E01000112,6.689478662438102,5.815300502159233,59.58938407611417
E01000113,5.904163587090416,6.709398944973606,73.72505543237251
E01000114,4.742294742294742,7.273742532901829,94.63869463869463
E01000115,8.300475866757308,2.2707762242879137,30.591434398368456
E01000116,7.788833609729132,2.7843215924157425,39.80099502487562
E01000117,7.9770531400966185,3.5876913883143877,36.41304347826087
E01000118,8.326474622770919,2.660845423221232,30.123456790123456
E01000119,8.172725524139258,2.5733565211389338,32.89094056549336
E01000120,7.96838061465721,2.577870509935606,36.569148936170215
E01000121,6.311200536552649,4.127704529677726,66.39839034205232
E01000122,8.461876510656998,1.7845477109433319,27.686222808174026
E01000123,7.392815758980301,3.9210274592652166,46.92931633835458
E01000124,2.349619122668768,10.0,137.70685579196217
E01000126,7.767857142857142,3.639387921709406,40.17857142857143
E01000127,7.6596817167134725,3.630567046829516,42.12572909915749
E01000128,7.141173003241969,4.373602199508647,51.45888594164457
E01000129,1.2123920166815605,10.0,158.1769436997319
E01000130,7.515808491418247,3.624430576135921,44.71544715447155
E01000131,5.941558441558442,4.795986297230388,73.05194805194805
E01000132,7.292686545022994,3.7318513151953034,48.73164218958612
E01000133,6.467165419783874,4.5711827753617325,63.59102244389027
E01000134,7.785829307568438,3.0974833633622856,39.85507246376811
E01000135,6.656833824975418,3.969521637955775,60.176991150442475
E01000136,7.984851643388229,3.2996581536468863,36.27267041901188
E01000137,7.443181818181818,3.5596612394561533,46.02272727272727
E01000138,6.2571554381329815,5.1569752947586185,67.37120211360634
E01000139,6.408529741863075,4.5797038106266035,64.64646464646465
E01000140,3.9949214192574294,7.17011611160762,108.09141445336627
E01000141,0.0,10.0,228.41480127912288
E01000142,7.8027569617911,3.1323581816181627,39.550374687760204
E01000143,0.7709011943539643,10.0,166.12377850162866
E01000144,3.7137967351237497,8.907563563029571,113.15165876777252
E01000145,7.033780011166946,4.353660382194957,53.391959798994975
E01000146,0.0,10.0,285.88098016336056
E01000147,7.973749470755458,2.8869838647277395,36.472509526401744
E01000150,2.2969187675070026,9.57077858816469,138.65546218487395
E01000151,5.171808377225984,7.620934564431758,86.90744920993228
E01000152,5.974235104669887,5.151619209353482,72.46376811594203
E01000153,7.210351377018043,4.204250155203959,50.21367521367522
E01000154,2.4530139254065624,9.060356996796916,135.84574934268187
E01000156,7.379717901544294,3.4663881649534303,47.165077772202714
E01000157,8.225840116885827,2.0333871172307854,31.934877896055106
