LSOA Code,Total_Decayed_Score,Z-Score_Decayed
E01000006,131.85679468613347,-0.22212856167788836
E01000007,848.8972436673976,1.0262299908757084
E01000008,260.2525498102338,0.001406859857216799
E01000009,422.24183600184597,0.28342820346015657
E01000011,174.5307261059265,-0.14783377491283062
E01000012,263.3239296046931,0.006754094089261841
E01000013,348.04692415742153,0.15425577966099716
E01000014,180.36941360343226,-0.13766869219880157
E01000015,195.48202505933293,-0.11135782258301229
E01000016,128.59250942074004,-0.22781164194876866
E01000017,147.4894083030132,-0.19491237473177714
E01000018,130.13110345320246,-0.22513296876922734
E01000019,129.04807805902533,-0.2270185025844739
E01000020,150.49891025024155,-0.18967286906638978
E01000021,229.26139960246024,-0.05254834932284188
E01000022,106.055580360027,-0.26704815668263965
E01000024,126.56613895322026,-0.23133952786840445
E01000025,146.0578771852185,-0.19740465270115054
E01000027,273.72135223928933,0.024855878289655978
E01000028,178.56739943230852,-0.1408059765814904
E01000029,152.63258068362853,-0.18595817523337985
E01000030,381.16408870015925,0.21191235350141047
E01000031,214.17288143650308,-0.07881727281885112
E01000032,312.56898805161444,0.09248913172982642
E01000033,120.93844545891386,-0.24113727263266282
E01000034,147.4064350072365,-0.19505683021342193
E01000035,312.4470866066339,0.09227690282192266
E01000036,223.72519157879654,-0.062186819014301384
E01000037,142.00335522104623,-0.20446352529011252
E01000038,117.13131017704252,-0.2477654480676819
E01000039,125.28707120614507,-0.23356636899518518
E01000040,205.53198867625377,-0.09386096023464643
E01000041,118.22017506876831,-0.24586974775943224
E01000042,209.73948121980465,-0.08653576775908993
E01000043,150.18380483128308,-0.1902214637032358
E01000044,165.3466195123812,-0.16382319089334488
E01000045,430.33678024458527,0.2975214012598419
E01000046,166.0958791831006,-0.16251873907426698
E01000049,232.51545517250113,-0.04688307882503854
E01000050,168.48629109351623,-0.1583570615054032
E01000051,196.93440535626664,-0.10882924645064279
E01000052,191.5116135349699,-0.11827025993663422
E01000053,216.52864683548574,-0.07471591439784704
E01000054,163.48192916237232,-0.16706959372822677
E01000055,150.56818420288118,-0.18955226397169847
E01000056,343.802209890346,0.14686578462518224
E01000057,269.35946610221635,0.01726188847748248
E01000058,186.38743515909366,-0.1271913911077189
E01000059,136.1710847475091,-0.2146174360447848
E01000060,537.6900428363024,0.48442210357210974
E01000061,355.91570959103746,0.16795523777137256
E01000062,212.11777298309084,-0.08239519121646356
