LSOA Code,Z-Score Decayed
E01000006,-0.3103889240990964
E01000006,-0.04864385555585023
E01000007,-0.17967797550080203
E01000007,1.5824365087935401
E01000008,-0.24616365985367963
E01000008,0.35989233118261615
E01000009,-0.20854574746148496
E01000009,0.8008666764566763
E01000011,-0.3317894395230649
E01000011,0.009865996380355894
E01000012,-0.25083248844356976
E01000012,0.20558601074991373
E01000013,-0.2333847507557347
E01000013,0.8840892278295335
E01000014,-0.3010664164371638
E01000014,0.07628737769342991
E01000015,-0.2834728900369142
E01000015,0.1912195395205827
E01000016,-0.31863621054980773
E01000016,0.026913607308821207
E01000017,-0.33081393169263223
E01000017,0.006320574315077701
E01000018,-0.31869552962307485
E01000018,0.018235756173807627
E01000019,-0.32837692116483636
E01000019,-0.013290941146138893
E01000020,-0.3286074444472632
E01000020,0.23023599308549667
E01000021,-0.28166478740021356
E01000021,0.23195544019895853
E01000022,-0.3582588203168549
E01000022,-0.09534409061688365
E01000024,-0.3547714631938321
E01000024,-0.11402774263082098
E01000025,-0.3259441024176959
E01000025,-0.03545239031404294
E01000027,-0.2600686532953349
E01000027,0.267999522594117
E01000028,-0.30889552052980834
E01000028,0.044402532757762056
E01000029,-0.3147678816848599
E01000029,-0.03299252617454771
E01000030,-0.1669476614014317
E01000030,0.5180741523021238
E01000031,-0.28695218426317004
E01000031,0.15428947216537933
E01000032,-0.2655835037747106
E01000032,0.43191031460425394
E01000033,-0.3370639675675568
E01000033,-0.002025176791635427
E01000034,-0.3468505572758726
E01000034,-0.013678799698957739
E01000035,-0.2539851086056744
E01000035,0.5223638897539635
E01000036,-0.32458433166196554
E01000036,0.0541610225559857
E01000037,-0.35432540082871994
E01000037,0.050792380646538425
E01000038,-0.35376726783123946
E01000038,-0.12088061283917666
E01000039,-0.35816228458362004
E01000039,-0.13358975209695428
E01000040,-0.3000001427128359
E01000040,0.15842666908498426
E01000041,-0.33108243986848745
E01000041,-0.10076839421448149
E01000042,-0.266577081423557
E01000042,0.22273734469603115
E01000043,-0.29720061173078133
E01000043,0.0104062780421935
E01000044,-0.3190215960570098
E01000044,0.0866827334245638
E01000045,-0.22012663595098966
E01000045,0.9393067047356316
E01000046,-0.3050996765188928
E01000046,-0.046150139835625006
E01000049,-0.2866088108109487
E01000049,0.6205327319362612
E01000050,-0.30211394978924044
E01000050,0.18342403435681093
E01000051,-0.3437934197740472
E01000051,-0.0059500108741841
E01000052,-0.24199198795138288
E01000052,0.2160202554891786
E01000053,-0.279744618745371
E01000053,0.262436130571226
E01000054,-0.3012288144812528
E01000054,0.0013799491742271404
E01000055,-0.29751673178260213
E01000055,0.014490632966040922
E01000056,-0.21647540700003465
E01000056,0.29834677268307525
E01000057,-0.2924184362094674
E01000057,0.17636531812563658
E01000058,-0.3141476319725367
E01000058,0.05035889003023397
E01000059,-0.3174751264893314
E01000059,-0.03693896026702099
E01000060,-0.22018961859707215
E01000060,0.9776830336001998
E01000061,-0.24288691101640067
E01000061,0.5577352065922425
E01000062,-0.29044536507880714
E01000062,0.10965383482150019
E01000063,-0.32112647638108116
E01000063,-0.03278492358076327
E01000064,-0.30395718599261823
E01000064,0.3535202624220415
E01000065,-0.3025221026529322
E01000065,0.07498668839540278
E01000066,-0.3136136223653245
E01000066,0.0788241858936467
E01000067,-0.2911250142491458
E01000067,0.11500396112524598
E01000068,-0.29517821703199854
E01000068,0.05419539558359787
E01000069,-0.32582158571864556
E01000069,-0.12331917591014474
E01000070,-0.22664345596840899
E01000070,0.5558118996094408
E01000071,-0.284069008179657
E01000071,0.13744702119073748
E01000072,-0.23024195117345891
E01000072,0.4726619475057584
E01000073,-0.31833840711281197
E01000073,0.004451119145182908
E01000074,-0.3229457812638881
E01000074,-0.048813377707275236
E01000075,-0.24218059036126496
E01000075,0.3120962863706446
E01000076,-0.3125764104496876
E01000076,0.0065701236599990135
E01000077,-0.30099789982046343
E01000077,0.1436487452173257
E01000078,-0.2950446237736113
E01000078,0.14929050674016825
E01000079,-0.33115780641902454
E01000079,-0.03896079781501366
E01000080,-0.32184742675504135
E01000080,0.07587597597421063
E01000081,-0.33787922700598066
E01000081,-0.08612651501516759
E01000082,-0.3033072344465313
E01000082,0.24530678358520425
E01000083,-0.3281843810608291
E01000083,0.030698556523901844
E01000084,-0.28234671737874234
E01000084,0.3333133651652027
E01000085,-0.3019274346303501
E01000085,0.20437718965476048
E01000086,-0.3268950515898906
E01000086,-0.0266610961997259
E01000087,-0.17687966175403563
E01000087,0.28990902218041475
E01000088,-0.29982166665502313
E01000088,0.22980127649363005
E01000089,-0.3342253640018578
E01000089,-0.015223411802942764
E01000090,-0.2842183733545242
E01000090,0.25519990817948723
E01000091,-0.2687049897040617
E01000091,0.22445178050265835
E01000093,-0.2800609260810516
E01000093,0.33164309476078685
E01000094,-0.3107644227587627
E01000094,0.04818675955916611
E01000095,-0.062424004174572556
E01000095,1.9710147663619761
E01000096,-0.17881648384049093
E01000096,0.3133612342077995
E01000097,-0.3158805957228425
E01000097,0.09787961101503685
E01000098,-0.29123240702762565
E01000098,0.42849226636306026
E01000099,-0.27493468817319056
E01000099,0.15468360571047648
E01000100,-0.3204445982548328
E01000100,-0.017968082697173433
E01000101,-0.30673624689248713
E01000101,0.04735952029049115
E01000102,-0.31739208887677306
E01000102,-0.03150908751388138
E01000103,-0.32457061368187906
E01000103,0.029075450639925733
E01000104,-0.2997741691650312
E01000104,0.40256575156632307
E01000105,-0.21176528764133265
E01000105,1.1331114020756057
E01000106,-0.22395505380630587
E01000106,0.503429615570016
E01000107,-0.3635951368681103
E01000107,-0.10604868928724563
E01000108,-0.3156589275236896
E01000108,0.21841298447080218
E01000110,-0.3505124145720276
E01000110,-0.13432522423949764
E01000111,-0.257929331437525
E01000111,0.35182836571340176
E01000112,-0.25634566117586866
E01000112,0.15901973956416754
E01000113,-0.2794307165857546
E01000113,0.31432423415188127
E01000114,-0.2604925960442284
E01000114,0.5276679511637467
E01000115,-0.35526433916368244
E01000115,-0.22340335775348863
E01000116,-0.3201291798731555
E01000116,-0.07838123807768295
E01000117,-0.3214926794478793
E01000117,-0.004016156348477084
E01000118,-0.33505951462402794
E01000118,-0.10448441979676742
E01000119,-0.3524620863898744
E01000119,-0.16998943213497994
E01000120,-0.3526914186633843
E01000120,-0.21198570537104605
E01000121,-0.3669065865539424
E01000121,-0.09848745186839138
E01000122,-0.3456384082796721
E01000122,-0.21838380280359987
E01000123,-0.33025839442444055
E01000123,-0.019466205569638982
E01000124,-0.2663706503037792
E01000124,0.7323674857177681
E01000126,-0.32342728984196073
E01000126,0.0031363687909430763
E01000127,-0.35102532058699176
E01000127,-0.07965192530030984
E01000128,-0.2997828108471382
E01000128,0.007759983408376039
E01000129,-0.22615330844244347
E01000129,0.9441409695593597
E01000130,-0.33433376841198986
E01000130,-0.03311166726609843
E01000131,-0.3251411772512566
E01000131,-0.03100695976333774
E01000132,-0.35977622159900857
E01000132,-0.08152365554113815
E01000133,-0.34526770361505604
E01000133,-0.052682932002250826
E01000134,-0.35637193950375906
E01000134,-0.10419212283511026
E01000135,-0.32937797593295515
E01000135,-0.0035208954487284633
E01000136,-0.3195617232955065
E01000136,-0.08411704564681033
E01000137,-0.3299861767920308
E01000137,-0.01387569091636149
E01000138,-0.3190519805501567
E01000138,0.04401520773338501
E01000139,-0.33308125010567535
E01000139,0.05028995233232217
E01000140,-0.32942267516485757
E01000140,0.08346593269594652
E01000141,-0.03750891178435848
E01000141,1.8696433989874826
E01000142,-0.3117300459716035
E01000142,0.012908916168682545
E01000143,-0.3214646961235993
E01000143,0.28564674693492165
E01000144,-0.3016796743106305
E01000144,0.4438313624947075
E01000145,-0.353795072018649
E01000145,-0.05660368769426383
E01000146,-0.2032575349073954
E01000146,1.5779500362311984
E01000147,-0.35763650365446475
