LSOA Code,Decayed Combined Score
E01000006,1276.2441933200812
E01000006,2099.3063691926327
E01000007,2735.6243711597067
E01000007,11204.76531399137
E01000008,1993.315552386756
E01000008,4379.9478122005885
E01000009,2413.31736757971
E01000009,6841.674336757262
E01000011,1037.3086768984801
E01000011,2425.935924863782
E01000012,1941.1883513306582
E01000012,3518.5372426586196
E01000013,2135.9913330458726
E01000013,7306.261822064413
E01000014,1380.3294519420972
E01000014,2796.7313643909206
E01000015,1576.7601561957215
E01000015,3438.3368326607438
E01000016,1184.163717306379
E01000016,2521.103719663372
E01000017,1048.2001653799537
E01000017,2406.1437087578324
E01000018,1183.5014232857009
E01000018,2472.659866763175
E01000019,1075.4092469113089
E01000019,2296.6629910811025
E01000020,1072.8354678016633
E01000020,3656.145055892392
E01000021,1596.947517513173
E01000021,3665.7438196575513
E01000022,741.7795719199693
E01000022,1838.603658060244
E01000024,780.7157124113689
E01000024,1734.3027112337081
E01000025,1102.571527454193
E01000025,2172.9473422595406
E01000027,1838.0671051881525
E01000027,3866.9588668284314
E01000028,1292.9179577591406
E01000028,2618.735140005739
E01000029,1227.3533852523994
E01000029,2186.6794626513465
E01000030,2877.7575914715653
E01000030,5262.993252203597
E01000031,1537.9140374801862
E01000031,3232.175800083059
E01000032,1776.4941186888775
E01000032,4781.986121082131
E01000033,978.4188764790291
E01000033,2359.5537946575564
E01000034,869.1521686620854
E01000034,2294.497781931221
E01000035,1905.9895296391974
E01000035,5286.940587421057
E01000036,1117.7532892622073
E01000036,2673.2116269790868
E01000037,785.6959729075693
E01000037,2654.4062809785937
E01000038,791.9274955294769
E01000038,1696.046761557613
E01000039,742.8573877957392
E01000039,1625.0983593422607
E01000040,1392.23433637697
E01000040,3255.271582192506
E01000041,1045.2022871330803
E01000041,1808.3226401584975
E01000042,1765.4008817303793
E01000042,3614.2840682034166
E01000043,1423.4909378037892
E01000043,2428.9520316099706
E01000044,1179.8609104178313
E01000044,2854.763137009417
E01000045,2284.0174176933792
E01000045,7614.5117893824845
E01000046,1335.2983365040445
E01000046,2113.2274650544955
E01000049,1541.7477822057967
E01000049,5834.965308757144
E01000050,1368.633802679044
E01000050,3394.818650617639
E01000051,903.2849319763926
E01000051,2337.6435219420555
E01000052,2039.8920277925959
E01000052,3576.7861120398998
E01000053,1618.3860894387599
E01000053,3835.9013918164865
E01000054,1378.516287176597
E01000054,2378.5628118474588
E01000055,1419.9614757167017
E01000055,2451.7528248068857
E01000056,2324.783177661611
E01000056,4036.371512466386
E01000057,1476.8836507906992
E01000057,3355.41357147454
E01000058,1234.2784374012988
E01000058,2651.9863321544963
E01000059,1197.1271536583881
E01000059,2164.6486085053566
E01000060,2283.3142200942007
E01000060,7828.746534994057
E01000061,2029.9002635541444
E01000061,5484.399940334601
E01000062,1498.9128757977219
E01000062,2982.9986459753068
E01000063,1156.3600433931813
E01000063,2187.838398124947
E01000064,1348.054177122559
E01000064,4344.375922696548
E01000065,1364.0767995726644
E01000065,2789.4703040152417
E01000066,1240.2406237667005
